loss,accuracy,lr
1.5985269797392878,0.46875,0.01
1.517267334536616,0.5,0.01
1.7226586182654353,0.34375,0.01
1.4709523744659765,0.4375,0.01
1.5478458394878447,0.5,0.01
1.5957807083904834,0.59375,0.01
1.704246017341714,0.4375,0.01
1.7219882486602,0.5,0.01
1.7766815685247175,0.21875,0.01
1.6144265052206002,0.4375,0.01
1.6844510999212494,0.46875,0.01
1.407007217858718,0.5,0.01
1.5670746725230509,0.5625,0.01
1.594679238086696,0.5,0.01
1.6530558064004617,0.34375,0.01
1.5135360033177405,0.5,0.01
1.6469151983157542,0.46875,0.01
1.7196605274899421,0.4375,0.01
1.7320057711066177,0.40625,0.01
1.4793506028340881,0.625,0.01
1.7834952178436811,0.40625,0.01
1.6438335730966593,0.5625,0.01
1.6774389902704074,0.4375,0.01
1.7441961528111334,0.46875,0.01
1.5896334867025486,0.46875,0.01
1.510463385855002,0.625,0.01
1.4758309235288145,0.59375,0.01
1.8447161781829922,0.4375,0.01
1.6319377060518647,0.5,0.01
1.8372925927081398,0.40625,0.01
1.8111742838561362,0.40625,0.01
1.267057669243058,0.59375,0.01
1.4781160497509935,0.4375,0.01
1.6039153222028726,0.625,0.01
1.549876926791206,0.5625,0.01
1.5316266381443426,0.53125,0.01
1.325564987768497,0.65625,0.01
1.3956766207060425,0.5625,0.01
2.014164234015224,0.40625,0.01
1.7085094994187142,0.53125,0.01
1.3512790688988028,0.5625,0.01
1.38135738297597,0.625,0.01
1.7229781626959253,0.375,0.01
1.234485563056083,0.65625,0.01
1.5955464501822985,0.375,0.01
1.708209366648555,0.4375,0.01
1.4543301081547588,0.46875,0.01
1.3474954982863467,0.53125,0.01
1.9101269196706219,0.40625,0.01
1.7698008927986046,0.46875,0.01
1.5130617926696306,0.53125,0.01
1.4278456877713697,0.53125,0.01
1.6523788489772302,0.46875,0.01
1.7849767293459837,0.4375,0.01
1.4222554947689101,0.625,0.01
1.5549149092723638,0.5,0.01
1.610511990148852,0.46875,0.01
1.647656440780775,0.46875,0.01
1.3551090617244437,0.71875,0.01
1.4889230553038517,0.4375,0.01
1.5352799002019362,0.53125,0.01
